Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
55,02077296;2,62272268;-7,218242712;0,32670846;7,68690058
55,03079296;3,145561993;-7,975364168;-0,255995779;8,577093197
55,04081296;2,894583417;-8,390051041;-0,504076694;8,889637954
55,05083296;2,652944014;-7,444783142;0,242109738;7,9070554
55,06085296;2,572006855;-6,449953659;0,07988583;6,944314452
55,07087296;2,325710438;-5,858422426;-0,765284827;6,349464799
55,08089396;1,772752117;-5,969267508;-1,980401655;6,534278489
55,09091396;0,51524451;-4,642434289;-3,178009654;5,649550283
55,10093396;1,31304987;-7,175245212;-3,590280458;8,130089641
55,11095396;1,767724389;-5,884386402;-3,049305421;6,859235847
55,12097396;3,077930465;-6,797636118;-1,898970991;7,699844386
55,13099396;4,057353705;-6,361230347;-0,129846779;7,546140126
55,14101396;5,302110143;-5,204226583;0,984567182;7,494379149
55,15103496;6,955106313;-5,197546139;1,417541514;8,797579988
55,16105496;7,478447317;-4,524423444;1,250045683;8,82950712
55,17107496;7,264052138;-4,346491503;1,041916673;8,529011209
55,18109496;6,637651035;-4,085982842;0,68499649;7,824505559
55,19111496;6,208119251;-3,418117964;0,67605025;7,11908133
55,20113496;5,31099908;-3,698125919;0,64971556;6,504227613
55,21115596;3,96182365;-3,795848095;0,510911139;5,510493588
55,22117596;3,222579471;-4,604853065;-0,009610337;5,620478855
55,23119596;2,404926323;-5,827117603;-0,120704073;6,305040812
55,24121596;1,902123225;-7,188513129;0,309650853;7,44235698
55,25123596;1,853694246;-6,109268562;0,579317569;6,410534578
55,26125596;3,599621385;-5,867675645;0,411699969;6,896114011
55,27127596;5,114346108;-4,209226361;-0,30598231;6,630818037
55,28129696;6,36561342;-3,820126904;-0,833786201;7,470582521
55,29131696;7,031582047;-3,431902775;-0,502234748;7,840493765
55,30133696;7,462401972;-2,81189911;0,553417765;7,99377827
55,31135696;7,907285621;-0,753256447;1,590736334;8,10080263
55,32137696;8,2908694;0,543220367;2,048196613;8,557377702
55,33139696;7,7365861;1,177249748;2,182123579;8,124182714
55,34141696;6,326607814;2,104036353;2,057089058;6,977431533
55,35143796;5,020926898;2,386897749;1,685996832;5,809438277
55,36145796;3,878319563;1,635327054;0,964007202;4,317981831
55,37147796;3,272679876;1,404787129;0,270781049;3,571719869
55,38149796;2,48584404;1,122337376;-0,079277573;2,728616263
55,39151796;2,358684641;1,437906343;-0,18232437;2,768430975
55,40153796;3,814819386;1,249666345;0,081802693;4,015121991
55,41155896;5,215121115;2,213221995;0,410846422;5,680196707
55,42157896;5,30531851;1,349538542;1,089954765;5,581725554
55,43159896;7,799482845;2,259885115;1,828710702;8,323652817
55,44161896;7,736297833;6,036232161;1,529543906;9,931057719
55,45163896;8,898342481;5,014670377;0,441982991;10,22363765
55,46165896;7,315032842;5,093300809;-0,231344941;8,916554217
55,47167896;4,281559635;3,330878676;-0,220561506;5,429102415
55,48169996;2,901073242;3,799156449;0,638968524;4,822664871
55,49171996;1,211333387;5,332751892;0,644807407;5,506482353
55,50173996;1,764021201;3,090958062;0,700518508;3,627191574
55,51175996;-0,041407533;3,919935951;0,656178195;3,974692726
55,52177996;0,093679302;2,655995969;0,716226615;2,752466341
55,53179996;0,720453275;3,270493895;1,315499707;3,598016497
55,54182096;1,63226209;4,330513986;1,783645334;4,959740073
55,55184096;2,05907565;5,984586629;1,947231424;6,621690107
55,56186096;1,786845369;6,983119154;1,512128559;7,365005246
55,57188096;1,44387445;6,20034187;1,477882441;6,535529759
55,58190096;-0,810479565;7,739702082;1,215853504;7,876430993
55,59192096;-2,094158651;6,841644017;0,787375608;7,198163214
55,60194096;-4,037798277;6,217768911;0,530912052;7,432787685
55,61196196;-6,565424473;5,693963639;0,249647018;8,694155742
55,62198196;-7,715171843;5,655322314;0,19577779;9,567908652
55,63200196;-7,91111087;5,789463873;0,322912484;9,808559507
55,64202196;-7,473135706;6,780258778;0,398362543;10,0984335
55,65204196;-6,530883216;6,551143234;0,580977008;9,268627058
55,66206196;-5,729343971;6,201599606;0,501901603;8,457962238
55,67208296;-4,563484014;5,611203902;0,249671431;7,236942131
55,68210296;-4,102624018;4,809645361;-0,142599483;6,323333531
55,69212296;-3,035518564;3,036359101;-0,608273054;4,336340121
55,70214296;-1,884000073;3,859757577;-0,961284665;4,401278568
55,71216296;-2,047065469;3,973811612;-1,386464878;4,680164593
55,72218296;-1,827999534;3,724178188;-1,124130718;4,298227
55,73220296;-2,94707855;4,008840526;-0,937011704;5,063009508
55,74222396;-4,10116046;2,714821297;-0,836829019;4,988993345
55,75224396;-5,273235422;2,814164906;-0,8154831;6,03254081
55,76226396;-5,729067982;3,102254298;-1,107470684;6,608531833
55,77228396;-5,905396618;0,995727616;-1,267717284;6,121461411
55,78230396;-6,626972265;-0,853561338;-1,313036714;6,809507601
55,79232396;-7,902096802;-2,538740584;-0,774951371;8,335999475
55,80234496;-8,625372235;-2,885133147;-0,203853818;9,097395004
55,81236496;-7,627243752;-3,06837553;0,04158887;8,221405311
55,82238496;-6,277126336;-1,892915615;-0,79824317;6,604743502
55,83240529;-4,793217024;-1,428660141;-2,252359164;5,485355143
55,84242529;-3,445948956;-2,908019149;-2,869759648;5,344778762
55,85244529;-3,974509769;-1,970285972;-2,920767249;5,311274427
55,86246529;-2,976632424;-3,508077376;-2,576628202;5,273135724
55,87248629;-2,115396908;-3,968532745;-1,583476285;4,767761883
55,88250629;-2,95929046;-3,527850906;-1,247615726;4,770710328
55,89252629;-2,291232623;-5,242993038;-0,410663989;5,736494386
55,90254629;-2,573207873;-4,697194633;0,542469585;5,383243394
55,91256629;-3,107009838;-4,601080441;0,909988139;5,62596923
55,92258629;-3,439806456;-4,093641526;0,79393728;5,405599486
55,93260729;-3,683543255;-3,416061498;-0,482574216;5,046864863
55,94262729;-4,12023437;-3,922858974;-1,913343447;6,002169353
55,95264729;-4,726028716;-5,361866933;-2,351222717;7,524175216
55,96266729;-5,026425619;-5,266173155;-1,991995515;7,547554593
55,97268729;-4,982361002;-4,049736537;-2,143140192;6,768850498
55,98270729;-3,142709136;-4,185410067;-2,632983667;5,858914672
55,99272729;-2,164276707;-4,851143636;-2,153340075;5,73188989
56,00274829;-1,689243645;-6,12555832;-0,020161163;6,354243881
56,01276829;-2,671908874;-4,39371537;2,186922973;5,588064412
56,02278829;-2,203558887;-3,782065038;2,884235015;5,241993833
56,03280829;-2,084237388;-3,265750633;0,749266891;3,94595661
56,04282829;-2,514920781;-5,225403444;-3,620973662;6,836747615
56,05284829;-2,465981925;-10,06877905;-5,940275259;11,94772985
56,06286929;-2,985689469;-12,14155853;-5,265768528;13,56687522
56,07288929;-0,144872954;-12,95579617;-1,606448826;13,05581558
56,08290929;3,306663601;-8,293691266;1,57424704;9,066288807
56,09292929;6,450249528;-5,704925414;2,27857574;8,907513702
56,10294929;8,396322765;-4,62138022;1,372176622;9,681852085
56,11296929;8,114968196;-3,821688695;0,059148168;8,970034103
56,12299029;8,3059482;-4,687963634;-0,192845777;9,53954758
56,13301029;8,265297772;-4,231741065;-0,241750646;9,288768652
56,14303029;8,000869138;-4,755839868;0,010941456;9,307633401
56,15305029;7,267255243;-5,388088186;0,257679777;9,050463631
56,16307029;7,031839909;-4,421024791;0,552087085;8,324483939
56,17309029;6,983885139;-3,086565633;0,170596025;7,63744997
56,18311029;6,319839662;-2,338791536;0,173781442;6,740958329
56,19313129;5,143531315;-2,693894112;0,571043905;5,834301245
56,20315129;3,587667337;-2,611092276;0,716875802;4,49478261
56,21317129;2,832200058;-2,476257822;0,51971573;3,797803893
56,22319129;2,542079636;-1,854691781;0,261421849;3,157592732
56,23321129;1,804774394;-1,288077289;-0,505213466;2,274113973
56,24323129;0,975885967;-0,066593354;-1,511322667;1,800245622
56,25325229;0,390590863;-1,293822763;-1,639160489;2,124473034
56,26327229;0,037720827;-2,204919534;-0,330077809;2,229808147
56,27329229;-0,240280693;-1,402773932;1,318721523;1,940241215
56,28331229;0,551877316;-1,820920018;2,106354189;2,838493659
56,29333229;1,825237602;-2,071769662;1,808148676;3,300473219
56,30335229;3,110291296;-1,474433314;0,666070368;3,505925738
56,31337229;4,434842931;-1,871017208;-0,197750348;4,817431101
56,32339329;4,967309099;-1,21401704;-0,364314133;5,126472652
56,33341329;5,337883408;-1,249680963;-0,006713627;5,482220979
56,34343329;5,649547019;-0,81977905;0,465556626;5,727666382
56,35345329;5,693732674;-0,687401596;0,816171902;5,792861925
56,36347329;4,745629167;-0,547273657;1,047894574;4,890663318
56,37349329;3,662855514;-0,618245991;0,873328289;3,815945613
56,38351429;2,621831565;-1,228421656;0,474132006;2,933908942
56,39353429;1,193692119;-2,556762872;-0,173925283;2,827045677
56,40355429;1,469337758;-3,240066739;-0,691975873;3,624336702
56,41357429;3,272388393;-3,004889386;-0,70527361;4,498366024
56,42359429;4,722519217;-1,976792754;0,058837169;5,119898354
56,43361429;5,914747485;-0,201744143;1,089649541;6,017663552
56,44363429;6,772545131;1,562044485;1,456760397;7,101373204
56,45365529;6,550062084;1,574180966;1,105157818;6,826619428
56,46367529;4,873381474;1,292291962;0,64995091;5,083532403
56,47369529;2,855346261;1,646959505;0,417991865;3,322678902
56,48371529;1,617382827;2,000854046;0,18540366;2,579480304
56,49373529;0,605770372;1,739284701;0,222321664;1,855126933
56,50375529;0,011181484;1,103354976;0,594210573;1,253237181
56,51377629;0,398236024;1,800768174;1,190958691;2,195390751
56,52379629;1,392131269;2,214181523;1,615025375;3,073912206
56,53381629;3,405153517;2,946115513;1,826319191;4,859023449
56,54383629;4,633338653;4,769297819;1,515901037;6,819969554
56,55385629;5,382460241;3,788133278;1,102988501;6,673635862
56,56387629;5,220982364;3,485290777;1,053923345;6,36527007
56,57389729;3,662482461;4,527459903;1,167047965;5,939164243
56,58391729;3,283673811;4,535620278;1,32539188;5,754218334
56,59393729;2,630085202;5,604058605;1,146374549;6,295791898
56,60395729;1,484940468;5,900385554;0,846201009;6,142935294
56,61397729;0,104994468;5,906439176;0,733613895;5,952750367
56,62399729;-0,794532819;5,916534394;0,750664376;6,016656766
56,63401729;-1,51117941;6,268798147;0,807640669;6,498751947
56,64403829;-1,934963381;6,159883815;0,999423641;6,533536524
56,65405829;-2,477331663;6,321110846;1,342724343;6,920731404
56,66407829;-2,766061032;6,370016373;1,700624081;7,149847865
56,67409829;-2,360247894;6,453635066;1,907594173;7,131556016
56,68411829;-2,484134898;6,22124625;2,018301115;6,996311206
56,69413829;-2,159790139;4,847437086;2,063428756;5,693863185
56,70415929;-2,084883652;4,005491826;2,102401471;4,981043721
56,71417929;-1,574430496;3,81163967;2,043466215;4,602519151
56,72419929;-0,646603233;3,72759647;1,827805553;4,201659711
56,73421929;-0,079874866;4,211046014;1,119638886;4,35808212
56,74423929;0,415201574;3,915485635;0,167348335;3,940992968
56,75425929;0,380859707;3,680027617;-0,599340774;3,747914986
56,76427929;-0,127833437;3,265690407;-0,816451253;3,36862997
56,77430029;-1,040250362;3,520284024;-0,542691633;3,710664985
56,78432029;-2,32293915;4,426101928;-0,593126353;5,033708717
56,79434029;-3,226167322;3,86883421;-0,736963107;5,091085185
56,80436029;-4,724763671;3,766872802;-0,865090878;6,104187471
56,81438029;-5,530771943;2,895829459;-0,834120442;6,298493745
56,82440029;-5,82033074;2,943238683;-0,676008223;6,557125207
56,83442071;-5,619628571;2,62015546;-0,47462785;6,218577933
56,84444071;-5,272034404;2,190671623;-0,181064843;5,711932545
56,85446071;-5,614318714;1,892303411;0,156632801;5,926712466
56,86448071;-6,029773911;0,973764305;0,696143768;6,147439019
56,87450071;-6,098697381;1,232814669;1,086805601;6,316255866
56,88452071;-6,114314125;1,282054657;0,87415874;6,30814195
56,89454171;-5,820107961;1,269332285;0,170357495;5,959352549
56,90456171;-5,701969061;1,007287561;-0,86084463;5,853898947
